L,T,S,PY,B,D,X,SP,P,Y,HDate,H,SSC
B,B1,0,2011,1,1,1,na,351,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,352,2011,2011,2011,12.2
B,B1,0,2011,1,1,1,na,353,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,354,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,355,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,356,2011,2011,2011,11.4
B,B1,0,2011,1,1,1,na,357,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,358,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,359,2011,2011,2011,11.2
B,B1,0,2011,1,1,1,na,360,2011,2011,2011,7.6
B,B1,0,2011,1,1,1,na,361,2011,2011,2011,6.7
B,B1,0,2011,1,1,1,na,362,2011,2011,2011,10.9
B,B1,0,2011,1,1,1,na,363,2011,2011,2011,13.76
B,B1,0,2011,1,1,1,na,364,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,365,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,366,2012,2012,2012,9.7
B,B1,0,2011,1,1,1,na,367,2012,2012,2012,9.7
B,B1,0,2011,1,1,1,na,368,2012,2012,2012,12
B,B1,0,2011,1,1,1,na,369,2012,2012,2012,7.8
B,B1,0,2011,1,1,1,na,370,2012,2012,2012,8.3
B,B1,0,2011,1,1,1,na,371,2012,2012,2012,11.8
B,B1,0,2011,1,1,1,na,372,2012,2012,2012,9.5
B,B1,0,2011,1,1,1,na,373,2012,2012,2012,10.6
B,B1,0,2011,1,1,1,na,374,2012,2012,2012,10.3
B,B1,0,2011,1,1,1,na,375,2012,2012,2012,13.1
B,B1,0,2011,1,1,1,na,376,2012,2012,2012,11.7
B,B1,0,2011,1,1,1,na,377,2012,2012,2012,9.6
B,B1,0,2011,1,1,1,na,378,2012,2012,2012,9.6
B,B1,0,2011,1,1,1,na,379,2012,2012,2012,8.1
B,B1,0,2011,1,1,1,na,380,2012,2012,2012,10.8
B,B1,0,2011,1,1,1,na,381,2012,2012,2012,9.2
B,B1,0,2011,1,1,1,na,382,2012,2012,2012,7.7
B,B1,0,2011,1,1,1,na,383,2012,2012,2012,9.7
B,B1,0,2011,1,1,1,na,384,2012,2012,2012,9.4
B,B1,0,2011,1,1,1,na,385,2012,2012,2012,7.4
B,B1,0,2011,1,1,1,na,386,2012,2012,2012,8.4
B,B1,0,2011,1,1,1,na,387,2012,2012,2012,12.5
B,B1,0,2011,1,1,1,na,388,2012,2012,2012,11.6
B,B1,0,2011,1,1,1,na,389,2012,2012,2012,10.9
B,B1,0,2011,1,1,1,na,390,2012,2012,2012,5.9
B,B1,0,2011,1,1,1,na,391,2012,2012,2012,9.8
B,B1,0,2011,1,1,1,na,392,2012,2012,2012,8.6
B,B1,0,2011,1,1,1,na,393,2012,2012,2012,7
B,B1,0,2011,1,1,1,na,394,2012,2012,2012,14.6
B,B1,0,2011,1,1,1,na,395,2012,2012,2012,9.4
B,B1,0,2011,1,1,1,na,396,2012,2012,2012,10.5
B,B1,0,2011,1,1,1,na,397,2012,2012,2012,7.6
B,B1,0,2011,1,1,1,na,398,2012,2012,2012,9.5
B,B1,0,2011,1,1,1,na,399,2012,2012,2012,9.2
B,B1,0,2011,1,1,1,na,400,2012,2012,2012,10.1
B,B1,0,2011,1,1,1,na,401,2012,2012,2012,9
B,B1,0,2011,1,1,1,na,402,2012,2012,2012,9.9
B,B1,0,2011,1,1,1,na,403,2012,2012,2012,10.7
B,B1,0,2011,1,1,1,na,404,2012,2012,2012,8.3
B,B1,0,2011,1,1,1,na,405,2012,2012,2012,6.8
B,B1,0,2011,1,1,1,na,406,2012,2012,2012,10.5
B,B1,0,2011,1,1,1,na,407,2012,2012,2012,8.8
B,B1,0,2011,1,1,1,na,408,2012,2012,2012,9.2
B,B1,0,2011,1,1,1,na,409,2012,2012,2012,10
B,B1,0,2011,1,1,1,na,410,2012,2012,2012,12
B,B1,0,2011,1,1,1,na,411,2012,2012,2012,7.4
B,B1,0,2011,1,1,1,na,412,2012,2012,2012,7.8
B,B1,0,2011,1,1,1,na,413,2012,2012,2012,7.7
B,B1,0,2011,1,1,1,na,414,2012,2012,2012,8.8
B,B1,0,2011,1,1,1,na,415,2012,2012,2012,9.9
B,B1,0,2011,1,1,1,na,416,2012,2012,2012,7
B,B1,0,2011,1,1,1,na,417,2012,2012,2012,10.4
B,B1,0,2011,1,1,1,na,418,2012,2012,2012,9.1
B,B1,0,2011,1,1,1,na,419,2012,2012,2012,10.9
B,B1,0,2011,1,1,1,na,420,2012,2012,2012,15.6
B,B1,0,2011,1,1,1,na,421,2012,2012,2012,8.1
B,B1,0,2011,1,1,1,na,422,2012,2012,2012,9.5
B,B1,0,2011,1,1,1,na,423,2012,2012,2012,8.1
B,B1,0,2011,1,1,1,na,424,2012,2012,2012,6.3
B,B1,0,2011,1,1,1,na,425,2012,2012,2012,9.7
B,B1,0,2011,1,1,1,na,426,2012,2012,2012,6.2
